domain,edge,x,y,n_genomes
Bacteria,60533,0.9933404661843573,-0.02400904693241466,0
Bacteria,7,0.008983281916483737,-0.03714574192541305,12604
Bacteria,7,0.00118762997171892,-0.03819810246897989,12604
Bacteria,7,-0.0066583402563020885,-0.03763206082865672,12604
Bacteria,7,-0.014222205570325492,-0.03547159942680644,12604
Bacteria,7,-0.021183495178567747,-0.031808254104870474,12604
Bacteria,7,-0.027247268610783765,-0.026797235872981568,12604
Bacteria,7,-0.032156611948977676,-0.02065085482839097,12604
Bacteria,7,-0.33764442546426565,-0.21683397569810525,12604
Bacteria,33458,0.008983281916483737,-0.03714574192541305,17553
Bacteria,33458,0.016398324298667704,-0.03451956629762513,17553
Bacteria,33458,0.02311859175378161,-0.030430843111921714,17553
Bacteria,33458,0.028859355595773215,-0.025052806065930532,17553
Bacteria,33458,0.03337738738818757,-0.018613315350019456,17553
Bacteria,33458,0.03648126420561454,-0.011385203517748795,17553
Bacteria,33458,0.0380394789653678,-0.0036747159378314994,17553
Bacteria,33458,0.044379392126262435,-0.004287168594136749,17553
Bacteria,8,-0.33764442546426565,-0.21683397569810525,6202
Bacteria,8,-0.3526152705179335,-0.19152859332670177,6202
Bacteria,8,-0.36569299366125807,-0.1651949316753017,6202
Bacteria,8,-0.37680738317543416,-0.13797437098469445,6202
Bacteria,8,-0.3858987680930687,-0.1100130530818617,6202
Bacteria,8,-0.39291833855984754,-0.08146109677330386,6202
Bacteria,8,-0.39782840788502594,-0.05247179188674593,6202
Bacteria,8,-0.4041431445181216,-0.05330467747224983,6202
Bacteria,24461,-0.33764442546426565,-0.21683397569810525,6402
Bacteria,24461,-0.3208608340175878,-0.24097521917757128,6402
Bacteria,24461,-0.302354603973445,-0.26382271418549574,6402
Bacteria,24461,-0.2822250916345946,-0.285253797022906,6402
Bacteria,24461,-0.2605803683865932,-0.3051534084286917,6402
Bacteria,24461,-0.23753664048382045,-0.32341471131010846,6402
Bacteria,24461,-0.2132176251609971,-0.3399396643300765,6402
Bacteria,24461,-0.331671861361551,-0.5287950334023412,6402
Bacteria,33459,0.044379392126262435,-0.004287168594136749,17446
Bacteria,33459,0.04432800376781125,-0.004789398919700525,17446
Bacteria,33459,0.04427093198022277,-0.005291015181759143,17446
Bacteria,33459,0.04420818408084569,-0.005791953066555259,17446
Bacteria,33459,0.04413976811478038,-0.006292148347308242,17446
Bacteria,33459,0.04406569285384742,-0.0067915368924491145,17446
Bacteria,33459,0.043985967795462884,-0.007290054673842905,17446
Bacteria,33459,0.05026967748052901,-0.008331491055820463,17446
Bacteria,59790,0.044379392126262435,-0.004287168594136749,107
Bacteria,59790,0.0444250904669175,-0.003784388597556159,107
Bacteria,59790,0.04446509293065219,-0.0032811233929221435,107
Bacteria,59790,0.04449939438862814,-0.0027774375054079826,107
Bacteria,59790,0.044527990442950346,-0.0022733955141241158,107
Bacteria,59790,0.044550877427231086,-0.001769062043838138,107
Bacteria,59790,0.04456805240706001,-0.0012645017566889412,107
Bacteria,59790,0.8149586725862404,-0.02312231783659779,107
Bacteria,9,-0.4041431445181216,-0.05330467747224983,5080
Bacteria,9,-0.4053711617986196,-0.04298012428382769,5080
Bacteria,9,-0.4063354635662705,-0.03262761023734291,5080
Bacteria,9,-0.4070354224914585,-0.022253870194098663,5080
Bacteria,9,-0.4074705832136539,-0.011865652824038592,5080
Bacteria,9,-0.4076406626376497,-0.001469716215377845,5080
Bacteria,9,-0.40754555011772964,0.008927176521892935,5080
Bacteria,9,-0.41391344933831914,0.009066663655047512,5080
Bacteria,21978,-0.4041431445181216,-0.05330467747224983,1122
Bacteria,21978,-0.4026522106153672,-0.06359455313133226,1122
Bacteria,21978,-0.4008993300222013,-0.07384305714937615,1122
Bacteria,21978,-0.3988856430807303,-0.08404352232913677,1122
Bacteria,21978,-0.3966124598014695,-0.09418931272519011,1122
Bacteria,21978,-0.3940812590111108,-0.10427382796096855,1122
Bacteria,21978,-0.3912936873904681,-0.11429050752265697,1122
Bacteria,21978,-0.7764734109154602,-0.22679522586527243,1122
Bacteria,24462,-0.331671861361551,-0.5287950334023412,6380
Bacteria,24462,-0.3324613595921574,-0.528299020771526,6380
Bacteria,24462,-0.3332501160412813,-0.5278018294099516,6380
Bacteria,24462,-0.3340381289490643,-0.5273034604269418,6380
Bacteria,24462,-0.334825396557307,-0.526803914934448,6380
Bacteria,24462,-0.33561191710947264,-0.5263031940470468,6380
Bacteria,24462,-0.3363976888506917,-0.5258012988819373,6380
Bacteria,24462,-0.33983031832876004,-0.5311666182582836,6380
