domain,node,x,y,n_genomes
Bacteria,35975,-0.756247342405338,0.654285837463156,0
Bacteria,35975,-0.756348685994859,0.654168682522979,0
Bacteria,35975,-0.756450011435186,0.654051511885499,0
Bacteria,40193,-0.8716668868156738,0.040590728287838836,24
Bacteria,40193,-0.9982190591176218,0.059654924476777296,24
Bacteria,40193,-0.9985109648443369,0.05455138023580474,24
Bacteria,40193,-0.9987767781088119,0.04944641049237997,24
Bacteria,40193,-0.9990164919649814,0.04434014864637034,24
Bacteria,41119,-0.9646458620891823,-0.0823306332229512,0
Bacteria,41119,-0.9964818471815179,-0.08380887922953068,0
Bacteria,41119,-0.9964100818878343,-0.08465783314188517,0
Bacteria,41119,-0.9963375933269728,-0.0855067256034037,0
Bacteria,46369,-0.5942774566180117,-0.7480977478200195,0
Bacteria,46369,-0.6240721112640576,-0.7813667512394047,0
Bacteria,46369,-0.6226791820985462,-0.7824772432352812,0
Bacteria,46369,-0.6212842768954377,-0.783585252083341,0
Bacteria,46734,-0.49012805943819004,-0.7142476840179008,257
Bacteria,46734,-0.5787931128549115,-0.8154744217397144,257
Bacteria,46734,-0.5748704814953642,-0.8182444191714895,257
Bacteria,46734,-0.5709345936670351,-0.8209955479503268,257
Bacteria,46734,-0.5669855401311915,-0.8237277446354111,257
Bacteria,46734,-0.5630234119527026,-0.8264409462224978,257
Bacteria,53052,0.31699375115369133,-0.8266560035146485,331
Bacteria,53052,0.35362795606090136,-0.9353861601991924,331
Bacteria,53052,0.3564518246847849,-0.9343137035701057,331
Bacteria,53052,0.3592724409006272,-0.9332327218916541,331
Bacteria,58820,0.8506151038089438,-0.26761548757974946,18
Bacteria,58820,0.9505317900411752,-0.31062729455268306,18
Bacteria,58820,0.9524854426691007,-0.3045841123621637,18
Bacteria,58820,0.9544006750730992,-0.2985286442203034,18
Bacteria,32291,-0.2691019536191048,0.9034492760517188,0
Bacteria,32291,-0.28266924819661715,0.9592174394390248,0
Bacteria,32291,-0.28474881851252454,0.9586021647981614,0
Bacteria,32291,-0.2868270496047416,0.9579823816830031,0
Bacteria,35973,-0.7464885273692659,0.6460955423838421,0
Bacteria,35973,-0.7559432027659299,0.6546372080717596,0
Bacteria,35973,-0.7560952929966368,0.6544615404348295,0
Bacteria,35973,-0.756247342405338,0.654285837463156,0
Bacteria,38859,-0.952442303480381,0.2598811842423228,0
Bacteria,38859,-0.9646604871872904,0.26349600463684364,0
Bacteria,38859,-0.9647216867298579,0.2632718502861595,0
Bacteria,38859,-0.9647828341865643,0.2630476817212811,0
Bacteria,38862,-0.837484743319185,0.1949364323444515,873
Bacteria,38862,-0.9647828341865643,0.2630476817212811,873
Bacteria,38862,-0.9660798997677269,0.25824334892650924,873
Bacteria,38862,-0.9673530413532799,0.25343262099532377,873
Bacteria,38862,-0.9686022274151548,0.2486156170605553,873
Bacteria,38862,-0.9698274270185167,0.2437924564104551,873
Bacteria,38862,-0.9710286098225317,0.2389632584857376,873
Bacteria,38862,-0.9722057460811175,0.23412814287662545,873
Bacteria,38862,-0.9733588066436804,0.2292872293198869,873
