"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0002474"	"antigen processing and presentation of peptide antigen via MHC class I"	"25/2271"	"99/18866"	0.000218558200734274	0.0130073958301078	0.0120346610685362	"PSMA4/NCF4/PSMA3/PSMB5/PSME2/PSMA7/PSMF1/CD36/PSMB7/PSMB6/PSMA5/FCGR1A/ABCB9/PSMA8/FCER1G/PSMB4/AZGP1/PSMD6/PSMD2/CALR/FCGR1B/PSMB8/PSMB9/SEC22B/PSMB3"	25
"BP"	"GO:1905037"	"autophagosome organization"	"25/2271"	"99/18866"	0.000218558200734274	0.0130073958301078	0.0120346610685362	"GABARAPL2/VMP1/NSFL1C/SH3GLB1/NPRL3/IFT20/RAB23/ATG14/RAB1A/GABARAPL1/MAP1LC3B/ATG3/ATG12/FEZ1/PIP4K2A/WIPI2/PINK1/GABARAP/NUPR1/SMCR8/BECN2/WDR45/MAP1LC3C/RNF5/SEC22B"	25
"BP"	"GO:0071450"	"cellular response to oxygen radical"	"11/2271"	"28/18866"	0.000226838379501747	0.0132311858311016	0.0122417153357904	"MPO/BMP7/SOD3/PRDX1/RGN/GCH1/CD36/SOD1/PRDX2/CCS/DHFR"	11
"BP"	"GO:0071451"	"cellular response to superoxide"	"11/2271"	"28/18866"	0.000226838379501747	0.0132311858311016	0.0122417153357904	"MPO/BMP7/SOD3/PRDX1/RGN/GCH1/CD36/SOD1/PRDX2/CCS/DHFR"	11
"BP"	"GO:0009263"	"deoxyribonucleotide biosynthetic process"	"8/2271"	"16/18866"	0.000228793751728673	0.0132311858311016	0.0122417153357904	"TBPL1/DUT/CMPK2/GUK1/AK5/DCK/DTYMK/RRM2"	8
"BP"	"GO:0009308"	"amine metabolic process"	"32/2271"	"140/18866"	0.000235359261806029	0.0134836661202893	0.012475314339507	"AOC1/GDE1/PSMA4/SMOX/SIRT4/PSMA3/PSMB5/PSME2/PSMA7/OAZ1/ODC1/PSMF1/SAT1/AOC3/PSMB7/HDC/PSMB6/AZIN2/PSMA5/PSMA8/PSMB4/PSMD6/HPRT1/GPR37/SULT1B1/PSMD2/HTR1A/OAZ2/IDO2/PSMB8/PSMB9/PSMB3"	32
"BP"	"GO:0042776"	"mitochondrial ATP synthesis coupled proton transport"	"10/2271"	"24/18866"	0.000247518237358513	0.0140489518056267	0.0129983261490026	"ATP5PB/ATP5F1E/COX5B/ATP5MC3/ATP5PF/STOML2/ATP5F1C/ATP5MG/ATP5PD/ATP5MF"	10
"BP"	"GO:0071347"	"cellular response to interleukin-1"	"39/2271"	"183/18866"	0.000251860651014155	0.0141642733093282	0.0131050235409393	"CCL26/PSMA4/TOLLIP/IRAK3/RBX1/PSMA3/PSMB5/PSME2/PSMA7/CCL22/CCL24/SKP1/CCL20/IL1R2/IL1R1/GBP1/EGR1/PTGIS/IL1B/PSMF1/PSMB7/CCL21/PSMB6/PSMA5/LCN2/PSMA8/MAPK13/TAB3/PSMB4/GBP2/PSMD6/UBB/PSMD2/PELI1/PSMB8/UBA52/PSMB9/CCL4/PSMB3"	39
"BP"	"GO:0032386"	"regulation of intracellular transport"	"66/2271"	"358/18866"	0.000259247211627088	0.0144471400661277	0.0133667366148014	"ARHGAP44/AKAP8L/PPP1R12A/GTSE1/ACTN2/MAP2/TP73/SIRT4/SH3GLB1/PPM1A/E2F1/ZDHHC2/BNIP3L/OAZ1/GSK3A/YWHAE/UBE2D3/MAPK14/RAB23/SNX3/WWC1/PDCD10/HTRA2/RHOU/STK11/TARDBP/IL1B/MAP2K2/YWHAH/ATP5IF1/RAN/INPP5K/CD36/TXN/ANP32B/KIF20B/PMAIP1/STOM/FEZ1/CABP1/KCNB1/PINK1/DMTN/TRIM58/IFI27/NDEL1/MTCL1/MFF/YWHAG/CDK1/KIF5B/HAP1/OAZ2/GAS1/YOD1/SLC35D3/RAB11B/UBE2L3/SVIP/TFDP1/UBL5/UBE2J1/LEPROT/FIS1/SIAH3/PPP3R1"	66
"BP"	"GO:0009165"	"nucleotide biosynthetic process"	"52/2271"	"266/18866"	0.000266959570553518	0.0147429024098474	0.0136403809022509	"UPP2/NOS2/NADK/TBPL1/MPC1/KARS1/ELOVL1/VPS9D1/ACACB/ADCY2/NOS1/PRPS2/NME4/NAMPT/GARS1/ATP5PB/PANK3/ATP5F1E/PTGIS/DUT/ACSBG2/CMPK2/COX5B/PARP9/MPC2/GUK1/ACSL1/GUCY1A2/PID1/AK5/ATP5MC3/ATP5PF/FLCN/DCK/PINK1/STOML2/ATP5F1C/HPRT1/ATP5MG/ATP5PD/DTYMK/RRM2/PDZD3/SLC22A13/IDH2/UPP1/IDO2/ELOVL2/PNP/PPT2/NME1/ATP5MF"	52
